# X	Y	sigma	esigma
-4.649	0.122	189.001	1.382
-2.986	-3.566	183.964	1.427
3.884	-2.559	184.024	1.110
-1.452	4.419	180.968	1.071
-9.001	-0.157	171.799	1.563
-5.472	-7.148	160.845	1.885
7.727	-4.619	179.515	1.343
-3.181	8.422	174.065	1.591
-9.001	-0.157	171.799	1.563
-5.472	-7.148	160.845	1.885
7.727	-4.619	179.515	1.343
-3.181	8.422	174.065	1.591
0.000	0.000	207.208	1.195
0.000	0.000	208.684	0.783
-0.000	0.000	211.264	1.118
0.000	-0.000	204.387	0.881
0.000	0.000	207.208	1.195
0.000	0.000	208.684	0.783
-0.000	0.000	211.264	1.118
0.000	-0.000	204.387	0.881
4.201	0.280	188.651	0.971
2.392	3.465	192.943	1.010
-3.716	1.981	181.550	1.060
1.679	-3.861	184.840	1.128
8.550	0.059	178.355	1.574
5.269	6.734	181.370	1.886
-7.293	4.465	166.762	1.728
2.937	-8.030	169.623	1.369
8.550	0.059	178.355	1.574
5.269	6.734	181.370	1.886
-7.293	4.465	166.762	1.728
2.937	-8.030	169.623	1.369
12.322	4.641	168.251	1.884
4.024	12.537	139.592	2.752
-12.915	2.565	139.731	2.152
8.522	-10.038	152.268	3.365
12.322	4.641	168.251	1.884
4.024	12.537	139.592	2.752
-12.915	2.565	139.731	2.152
8.522	-10.038	152.268	3.365
17.385	-3.283	157.646	2.495
13.378	11.577	152.300	3.729
-13.030	11.967	111.670	3.870
2.767	-17.474	92.392	2.369
17.385	-3.283	157.646	2.495
13.378	11.577	152.300	3.729
-13.030	11.967	111.670	3.870
2.767	-17.474	92.392	2.369
20.868	3.801	144.021	2.874
9.996	18.709	117.436	4.223
-19.729	7.791	113.959	2.814
10.610	-18.367	91.085	6.410
20.868	3.801	144.021	2.874
9.996	18.709	117.436	4.223
-19.729	7.791	113.959	2.814
10.610	-18.367	91.085	6.410
25.649	-0.222	nan	nan
16.119	19.953	107.724	6.204
-21.665	13.732	nan	nan
25.649	-0.222	nan	nan
16.119	19.953	107.724	6.204
-21.665	13.732	nan	nan
-12.322	-4.641	145.901	2.692
-17.385	3.283	115.913	2.859
-20.868	-3.801	121.340	3.226
6.020	-11.711	141.794	2.022
-1.274	-17.646	98.110	3.640
-9.996	-18.709	84.785	3.157
-16.119	-19.953	63.469	2.907
-4.024	-12.537	125.485	3.750
-13.378	-11.577	127.000	3.206
18.709	-9.996	131.259	3.418
19.953	-16.119	94.000	6.912
12.537	-4.024	163.952	1.788
11.577	-13.378	126.278	4.566
